"sample_id","sample_id_metaphlan","subject_id","study_readable","species","sex","age","weight","antibiotics","medications","Hill's/Public","Facility/Household"
"A01_02_1FE","A01_02_1FE","A01_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V19_02_2FE","V19_02_2FE","V19_02_2FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A39_02_1FE","A39_02_1FE","A39_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V30_01_1FE","V30_01_1FE","V30_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A79_02_1FE","A79_02_1FE","A79_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A62_01_1FE","A62_01_1FE","A62_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A47_02_1FE","A47_02_1FE","A47_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A94_03_1FE","A94_03_1FE","A94_03_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A69_02_1FE","A69_02_1FE","A69_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V40_01_1FE","V40_01_1FE","V40_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A68_01_1FE","A68_01_1FE","A68_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A90_04_1FE","A90_04_1FE","A90_04_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A88_02_1FE","A88_02_1FE","A88_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A89_02_1FE","A89_02_1FE","A89_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A09_01_1FE","A09_01_1FE","A09_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A56_01_1FE","A56_01_1FE","A56_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A20_01_1FE","A20_01_1FE","A20_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A36_02_1FE","A36_02_1FE","A36_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
